id;cp;localidad;idProvincia
547;2700;Barrio Jose Hernandez;1
548;1778;Barrio Jose Ingenieros;1
549;7600;Barrio Jose Manuel Estrada;1
550;7600;Barrio Juan Gregorio De Las Heras;1
551;6500;Barrio Julio De Vedia;1
552;7600;Barrio Juramento;1
553;1619;Barrio Kilometro 48;1
554;8000;Barrio Kilometro 5;1
555;1708;Barrio La Cabaña;1
556;1852;Barrio La Carlota;1
557;1891;Barrio La Carolina;1
558;1852;Barrio La Cumbre (Burzaco, Pdo. Alte. Brown);1
559;1900;Barrio La Cumbre (La Plata, Pdo. La Plata);1
560;1980;Barrio La Dolly;1
561;1763;Barrio La Elvira;1
562;1759;Barrio La Encarnacion;1
563;1888;Barrio La Esmeralda;1
564;1663;Barrio La Estrella;1
565;8000;Barrio La Falda;1
566;1763;Barrio La Foresta;1
567;1765;Barrio La Fragata;1
568;1847;Barrio La Gloria;1
569;1667;Barrio La Granja;1
570;1849;Barrio La Jovita;1
571;1759;Barrio La Justina;1
572;1884;Barrio La Loma;1
573;7400;Barrio La Luisa;1
574;1763;Barrio La Mercedes;1
575;1842;Barrio La Morita;1
576;1664;Barrio La Nueva Estrella;1
577;1894;Barrio La Perla;1
578;1744;Barrio La Porteña (Moreno, Pdo. Moreno);1
579;1806;Barrio La Porteña (Tristan Suarez, Pdo. Esteban Echeverria);1
580;1746;Barrio La Providencia (Francisco Alvarez, Pdo. Moreno);1
581;1665;Barrio La Providencia (Jose C. Paz, Pdo. Gral. Sarmiento);1
582;1763;Barrio La Recoleta;1
583;1742;Barrio La Reconquista;1
584;1856;Barrio La Reforma;1
585;1746;Barrio La Reja Grande;1
586;1888;Barrio La Sirena;1
587;1846;Barrio La Tablada;1
588;1761;Barrio La Teja;1
589;1746;Barrio La Tradicion;1
590;1765;Barrio La Union;1
591;1744;Barrio La Victoria;1
592;1842;Barrio Landa;1
593;2804;Barrio Las Acacias (Campana, Pdo. Campana);1
594;1665;Barrio Las Acacias (Jose C. Paz, Pdo.Gral. Sarmiento);1
595;1772;Barrio Las Achiras;1
596;2930;Barrio Las Canaletas;1
597;1665;Barrio Las Heras;1
598;1890;Barrio Las Hermanas;1
599;2900;Barrio Las Lomas;1
600;1849;Barrio Las Malvinas;1
601;1980;Barrio Las Mandarinas;1
602;1889;Barrio Las Margaritas (El Rocio, Pdo. Florencio Varela);1
603;1879;Barrio Las Margaritas (Quilmes Oeste, Pdo. Quilmes);1
604;1838;Barrio Las Moreras;1
605;1759;Barrio Las Nieves;1
606;1744;Barrio Las Rosas;1
607;1849;Barrio Las Tunas;1
608;1763;Barrio Leloir De Quiroga;1
609;1655;Barrio Libertador;1
610;1838;Barrio Lindo;1
611;8000;Barrio Loma Paraguaya;1
612;1846;Barrio Loma Verde;1
613;1854;Barrio Los Alamos;1
614;7600;Barrio Los Andes;1
615;1619;Barrio Los Cachorros;1
616;1765;Barrio Los Cedros;1
617;1744;Barrio Los Cuatro Vientos;1
618;1746;Barrio Los Eucaliptos (Francisco Alvarez, Pdo. Moreno);1
619;1838;Barrio Los Eucaliptos (Luis Guillon, Pdo. E. Echeverria);1
620;1879;Barrio Los Eucaliptos (Quilmes Oeste, Pdo. Quilmes);1
621;1663;Barrio Los Eucaliptos (San Miguel, Pdo. Gral Sarmiento);1
622;1667;Barrio Los Gallitos;1
623;1744;Barrio Los Limones;1
624;1884;Barrio Los Manzanos;1
625;1663;Barrio Los Nogales;1
626;1664;Barrio Los Paraisos;1
627;1884;Barrio Los Pinos (Berazategui, Pdo. Berazategui);1
628;1836;Barrio Los Pinos (Llavallol, Pdo. Lomas De Zamora);1
629;1663;Barrio Los Pinos (San Miguel, Estaf. No. 6, Pdo.G.Sarmiento);1
630;1884;Barrio Los Troncos;1
631;1617;Barrio Los Troncos Del Talar;1
632;1722;Barrio Los Vascos;1
633;2804;Barrio Lubo;1
634;1884;Barrio Luchetti;1
635;1806;Barrio Lujan;1
636;8000;Barrio Maldonado;1
637;2700;Barrio Malvinas Argrentinas;1
638;7109;Barrio Mar De Ajo Norte;1
639;1746;Barrio Maravilla Del Oeste;1
640;1765;Barrio Marconi;1
641;1828;Barrio Mariano Moreno (Banfield, Pdo. Lomas De Zamora);1
642;1686;Barrio Mariano Moreno (Hurlingham, Pdo. Moron);1
643;1663;Barrio Mariano Moreno (San Miguel, Pdo. Gral Sarmiento);1
644;1822;Barrio Mariano Moreno (Valentin Alsina, Pdo. Lanus);1
645;1714;Barrio Marina;1
646;1886;Barrio Maritimo;1
647;1663;Barrio Martin Fierro;1
648;7300;Barrio Martin Guemes;1
649;1842;Barrio Martinez Moreno;1
650;1661;Barrio Mayor Irusta;1
651;1663;Barrio Mitre (San Miguel, Pdo. Gral. Sarmiento);1
652;2900;Barrio Mitre (San Nicolas, Pdo. San Nicolas);1
653;1888;Barrio Monte Cudine;1
654;1842;Barrio Monte Chico;1
655;1842;Barrio Montecarlo;1
656;1888;Barrio Monteverde;1
657;1759;Barrio Nahuel;1
658;1888;Barrio Nobile;1
659;8000;Barrio Noroeste;1
660;1663;Barrio Norte Sarmiento;1
661;2900;Barrio Novamur;1
662;1842;Barrio Nuestras Malvinas;1
663;7630;Barrio Nuestro Hogar;1
664;7630;Barrio Nueva Pompeya;1
665;1900;Barrio Nuevo (La Plata, Pdo. La Plata);1
666;1716;Barrio Nuevo (Libertad, Pdo. Merlo);1
667;1661;Barrio Obligado;1
668;1923;Barrio Obrero Berisso;1
669;1607;Barrio Obrero Ferroviario;1
670;1874;Barrio Obrero Villa Avellaneda;1
671;7630;Barrio Obrero (Necochea, Pdo. Necochea);1
672;6450;Barrio Obrero (Pehuajo, Pdo. Pehajo);1
673;7607;Barrio Oeste;1
674;1761;Barrio Olaechea;1
675;1763;Barrio Oro Verde;1
676;1888;Barrio Palermo Chico;1
677;6600;Barrio Pampa Chica;1
678;1650;Barrio Para Jefes Y Oficiales General San Martin;1
